Order ID,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating,Month,Year,Profit (INR),Discount %,Customer Segment,Region
ORD00001,Educational Book,Books,49069.56,2,98139.12,12-09-2024,Debit Card,3.5,September,2024,19627.824,11,Online,West
ORD00002,Jeans,Clothing,12755.85,4,51023.4,18-12-2024,UPI,3.9,December,2024,10204.68,24,Wholesale,North
ORD00003,Face Cream,Beauty,11092.19,4,44368.76,18-05-2024,Debit Card,4.4,May,2024,8873.752,19,Online,South
ORD00004,Smartwatch,Electronics,32657.81,1,32657.81,08-11-2024,Debit Card,3.2,November,2024,6531.562,15,Online,North
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,79770.24,27-12-2024,UPI,3.1,December,2024,15954.048,12,Retail,North
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,22-10-2024,Wallet,1.7,October,2024,4190.012,25,Wholesale,North
ORD00007,Sneakers,Clothing,38647.72,3,115943.16,04-07-2024,Wallet,2,July,2024,23188.632,11,Wholesale,North
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,74455.77,27-12-2024,Debit Card,2.4,December,2024,14891.154,30,Wholesale,South
ORD00009,Jacket,Clothing,1987.39,2,3974.78,18-01-2025,Debit Card,2.6,January,2025,794.956,23,Online,North
ORD00010,Tablet,Electronics,26876.51,2,53753.02,14-03-2024,Debit Card,4,March,2024,10750.604,27,Online,North
ORD00011,Perfume,Beauty,46409.57,5,232047.85,08-02-2025,UPI,2.3,February,2025,46409.57,15,Online,West
ORD00012,Lipstick,Beauty,48780.78,5,243903.9,13-04-2024,UPI,1.3,April,2024,48780.78,15,Retail,South
ORD00013,Educational Book,Books,6670.82,5,33354.1,23-02-2024,COD,1.2,February,2024,6670.82,28,Online,South
ORD00014,Smartphone,Electronics,10826.05,1,10826.05,02-06-2024,Wallet,3.7,June,2024,2165.21,25,Retail,East
ORD00015,Comic Book,Books,6839.1,1,6839.1,12-09-2024,Credit Card,1.6,September,2024,1367.82,8,Wholesale,South
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,30-03-2024,Debit Card,1.6,March,2024,18197.89,12,Online,South
ORD00017,Cookbook,Books,20817.46,2,41634.92,30-03-2024,Debit Card,2.3,March,2024,8326.984,28,Retail,East
ORD00018,Perfume,Beauty,44061.25,4,176245,22-04-2024,COD,2.5,April,2024,35249,7,Retail,South
ORD00019,Cookbook,Books,4398.59,5,21992.95,22-03-2024,Wallet,4,March,2024,4398.59,26,Online,South
